timestamp,event_type,king_id,decan_id
2025-03-20 09:01:00,equinox,0,0
1900-03-20 21:43:00,equinox,1,15
1900-09-23 13:30:00,equinox,2,25
1901-03-21 03:38:00,equinox,1,16
1901-09-23 19:24:00,equinox,2,26
1902-03-21 09:32:00,equinox,1,17
1903-03-21 15:25:00,equinox,1,18
1904-03-20 21:18:00,equinox,1,19
1905-03-21 03:11:00,equinox,1,20
1910-03-21 05:45:00,equinox,1,25
1910-09-23 17:30:00,equinox,2,35
1915-03-21 08:20:00,equinox,1,30
1920-03-20 14:10:00,equinox,1,35
1920-09-23 02:00:00,equinox,2,45
1925-03-20 20:05:00,equinox,1,40
1930-03-21 01:55:00,equinox,1,45
1935-03-21 07:50:00,equinox,1,50
1940-03-20 13:40:00,equinox,1,55
1945-03-20 19:35:00,equinox,1,60
1950-03-21 01:30:00,equinox,2,1
1950-09-23 13:20:00,equinox,2,11
1955-03-21 07:25:00,equinox,2,6
1960-03-20 13:15:00,equinox,2,11
1965-03-20 19:10:00,equinox,2,16
1970-03-21 01:05:00,equinox,2,21
1975-03-21 06:58:00,equinox,2,26
1980-03-20 12:50:00,equinox,2,31
1985-03-20 18:45:00,equinox,2,36
1990-03-21 00:40:00,equinox,3,1
1995-03-21 06:35:00,equinox,3,6
2000-03-20 12:25:00,equinox,3,11
2000-09-22 23:15:00,equinox,3,21
2005-03-20 18:20:00,equinox,3,16
2010-03-20 23:15:00,equinox,3,21
2015-03-20 05:10:00,equinox,3,26
2020-03-19 11:00:00,equinox,3,31
2020-09-22 21:45:00,equinox,3,41
2025-03-20 09:01:00,equinox,0,0
2025-09-22 18:20:00,equinox,4,6
2030-03-20 14:55:00,equinox,4,1
2035-03-20 20:50:00,equinox,4,6
2040-03-20 02:40:00,equinox,4,11
2045-03-20 08:35:00,equinox,4,16
2050-03-20 14:30:00,equinox,4,21
2050-09-22 01:15:00,equinox,4,31
1925-01-01 00:00:00,quinary_shift,1,45
1930-01-01 00:00:00,quinary_shift,1,50
1935-01-01 00:00:00,quinary_shift,1,55
1940-01-01 00:00:00,quinary_shift,1,60
1945-01-01 00:00:00,quinary_shift,2,1
1950-01-01 00:00:00,quinary_shift,2,6
1955-01-01 00:00:00,quinary_shift,2,11
1960-01-01 00:00:00,quinary_shift,2,16
1965-01-01 00:00:00,quinary_shift,2,21
1970-01-01 00:00:00,quinary_shift,2,26
1975-01-01 00:00:00,quinary_shift,2,31
1980-01-01 00:00:00,quinary_shift,2,36
1985-01-01 00:00:00,quinary_shift,2,41
1990-01-01 00:00:00,quinary_shift,3,1
1995-01-01 00:00:00,quinary_shift,3,6
2000-01-01 00:00:00,quinary_shift,3,11
2005-01-01 00:00:00,quinary_shift,3,16
2010-01-01 00:00:00,quinary_shift,3,21
2015-01-01 00:00:00,quinary_shift,3,26
2020-01-01 00:00:00,quinary_shift,3,31
2025-01-01 00:00:00,quinary_shift,0,0
2030-01-01 00:00:00,quinary_shift,4,6
2035-01-01 00:00:00,quinary_shift,4,11
2040-01-01 00:00:00,quinary_shift,4,16
2045-01-01 00:00:00,quinary_shift,4,21
2050-01-01 00:00:00,quinary_shift,4,26
1920-07-15 12:00:00,minister_shift,1,35
1935-11-08 16:30:00,minister_shift,1,52
1950-04-22 08:15:00,minister_shift,2,8
1965-12-03 20:45:00,minister_shift,2,24
1980-08-14 04:30:00,minister_shift,2,38
1995-02-25 12:15:00,minister_shift,3,4
2010-10-07 16:00:00,minister_shift,3,23
2025-05-18 09:45:00,minister_shift,0,1
2040-01-29 21:30:00,minister_shift,4,13
